Hmia_Digestive;Xboc_EPIDERMIS,Hmia_Digestive;Xboc_EPIDERMIS_pval1,Hmia_Digestive;Xboc_EPIDERMIS_pval2,Hmia_Digestive;Xboc_GUT,Hmia_Digestive;Xboc_GUT_pval1,Hmia_Digestive;Xboc_GUT_pval2,Hmia_Endoderm-like I;Xboc_GUT,Hmia_Endoderm-like I;Xboc_GUT_pval1,Hmia_Endoderm-like I;Xboc_GUT_pval2,Hmia_Endoderm-like II;Xboc_EPIDERMIS,Hmia_Endoderm-like II;Xboc_EPIDERMIS_pval1,Hmia_Endoderm-like II;Xboc_EPIDERMIS_pval2,Hmia_Endodermal Progenitor;Xboc_GUT,Hmia_Endodermal Progenitor;Xboc_GUT_pval1,Hmia_Endodermal Progenitor;Xboc_GUT_pval2,Hmia_Endodermal Progenitor;Xboc_unk9,Hmia_Endodermal Progenitor;Xboc_unk9_pval1,Hmia_Endodermal Progenitor;Xboc_unk9_pval2,Hmia_Endoerm-like III;Xboc_EPIDERMIS,Hmia_Endoerm-like III;Xboc_EPIDERMIS_pval1,Hmia_Endoerm-like III;Xboc_EPIDERMIS_pval2,Hmia_Epidermal;Xboc_CILIATED_CELLS,Hmia_Epidermal;Xboc_CILIATED_CELLS_pval1,Hmia_Epidermal;Xboc_CILIATED_CELLS_pval2,Hmia_Epidermal Progenitor;Xboc_unk9,Hmia_Epidermal Progenitor;Xboc_unk9_pval1,Hmia_Epidermal Progenitor;Xboc_unk9_pval2,Hmia_Muscle;Xboc_MUSCLE,Hmia_Muscle;Xboc_MUSCLE_pval1,Hmia_Muscle;Xboc_MUSCLE_pval2,Hmia_Neoblast;Xboc_unk9,Hmia_Neoblast;Xboc_unk9_pval1,Hmia_Neoblast;Xboc_unk9_pval2,Hmia_Neural;Xboc_NEURON,Hmia_Neural;Xboc_NEURON_pval1,Hmia_Neural;Xboc_NEURON_pval2,Hmia_Neural;Xboc_PHARYNGEAL,Hmia_Neural;Xboc_PHARYNGEAL_pval1,Hmia_Neural;Xboc_PHARYNGEAL_pval2,Hmia_Secretory;Xboc_SECRETORY_EPITHELIIUM_1,Hmia_Secretory;Xboc_SECRETORY_EPITHELIIUM_1_pval1,Hmia_Secretory;Xboc_SECRETORY_EPITHELIIUM_1_pval2,Hmia_Unknown;Xboc_SECRETORY_EPITHELIIUM_2,Hmia_Unknown;Xboc_SECRETORY_EPITHELIIUM_2_pval1,Hmia_Unknown;Xboc_SECRETORY_EPITHELIIUM_2_pval2,Hmia_Unknown;Xboc_SECRETORY_EPITHELIIUM_3,Hmia_Unknown;Xboc_SECRETORY_EPITHELIIUM_3_pval1,Hmia_Unknown;Xboc_SECRETORY_EPITHELIIUM_3_pval2,Hmia_Unknown;Xboc_SECRETORY_EPITHELIIUM_4,Hmia_Unknown;Xboc_SECRETORY_EPITHELIIUM_4_pval1,Hmia_Unknown;Xboc_SECRETORY_EPITHELIIUM_4_pval2
Hmia_98035610-catl2-3;Xboc_model_10796,4.485949655082063e-204,5.728269233798078e-253,Hmia_98133224-catl2-7;Xboc_model_765,0.0,1.520029210761e-310,Hmia_98020832-actb-3;Xboc_model_7642,4.841005450351146e-118,0.0,Hmia_98003215-npc2;Xboc_model_8308,6.568364484117121e-59,3.520860501313564e-25,Hmia_98026758-ets2;Xboc_model_10506,1.7267185526647088e-22,0.0010763975026762008,Hmia_98046498-rl7a-2;Xboc_model_3217,5.844825892668552e-88,6.116651867726928e-64,Hmia_98022839-sap;Xboc_model_7725,2.355215308025386e-159,6.77600088057766e-08,Hmia_98051772-fhl3-5;Xboc_model_13687,2.1116405127832635e-107,2.304741472786509e-113,Hmia_98009195-rl19;Xboc_model_11399,3.531072891532516e-36,5.350530459886056e-38,Hmia_98052096-titin-9;Xboc_model_3478,0.0,1.2756936955355156e-27,Hmia_98035549-rs3a-2;Xboc_model_3530,7.151178943332102e-157,1.493397780494471e-71,Hmia_98058501-ptprn;Xboc_model_6058,3.394597305685352e-119,5.4311937591113555e-05,Hmia_98040997-tba1a-7;Xboc_model_237,5.186601682689926e-11,2.153339333702025e-32,Hmia_98013481-rasef;Xboc_model_2685,2.109844699886715e-20,0.002507435341304086,,,,Hmia_98039627-ppib;Xboc_model_7526,1.891966678398424e-12,0.0031689060310340056,Hmia_98051382-djc10;Xboc_model_6792,2.250130351643658e-25,7.50208664784693e-40
Hmia_98015721-cath;Xboc_model_10963,0.0,3.5606324083409e-157,Hmia_98015721-cath;Xboc_model_765,0.0,1.520029210761e-310,Hmia_98006859-radi;Xboc_model_9949,2.708350450842534e-32,5.792913630647039e-117,Hmia_98022839-sap;Xboc_g7257,1.1542809475331015e-125,7.453410262424843e-38,Hmia_98005252-ddx5;Xboc_model_6897,2.692357278917843e-07,4.1087159167690446e-26,Hmia_98043946-rl27a;Xboc_model_8245,8.578499548202456e-114,9.795349166145978e-55,Hmia_98007097-catb-2;Xboc_model_1141,3.772763834778818e-59,1.2845821361537508e-78,Hmia_98025609-crocc;Xboc_model_9738,1.5855297206075562e-87,2.3079589473811436e-40,Hmia_98001181-rs15;Xboc_model_11218,2.994652834564696e-42,1.6855085916832554e-40,Hmia_98017865-my18a;Xboc_model_1093,2.3848243057009212e-85,0.0,Hmia_98019845-rl10a;Xboc_model_13700,2.96534887710041e-177,7.693121204307278e-55,Hmia_98001419-syt7;Xboc_model_3304,3.805786591487365e-12,4.1439197092583465e-29,Hmia_98029778-canb1;Xboc_model_8234,4.542211963645437e-52,9.825132077760315e-07,Hmia_98137199-ppib-3;Xboc_model_7522,4.667183059539434e-14,9.315857376703156e-63,,,,Hmia_98015773-cr3l1;Xboc_model_1617,5.383883390341281e-32,2.6094351284690397e-06,Hmia_98034125-erd22;Xboc_model_6600,1.687139010705975e-33,0.002998031897362126
Hmia_98006634-catb;Xboc_model_10796,1.1343481959965509e-238,5.728269233798078e-253,Hmia_98133224-catl2-7;Xboc_model_3134,0.0,0.0,Hmia_98011303-cof2;Xboc_model_10967,2.3678697661004304e-53,2.6634392495524944e-143,Hmia_98050311-catl1-4;Xboc_model_3134,8.377412311504803e-100,2.8129470163870646e-84,Hmia_98047033-adt2;Xboc_model_510,2.8079195993880093e-26,5.078360873846777e-116,Hmia_98050235-rl40-4;Xboc_model_3404,1.138797763203306e-63,5.461041467575923e-56,Hmia_98007097-catb-2;Xboc_model_9965,3.772763834778818e-59,1.3637429210934938e-16,Hmia_98037979-tba1a-6;Xboc_model_10642,2.7114172889696017e-274,2.6447455268418946e-122,Hmia_98045749-rl18;Xboc_model_9876,1.2474689800369985e-27,3.3336418610988425e-24,Hmia_98036269-titin-7;Xboc_model_3478,0.0,1.2756936955355156e-27,Hmia_98001181-rs15;Xboc_model_11218,1.0398227352951123e-189,1.6855085916832554e-40,Hmia_98013924-nrsn1;Xboc_model_7101,1.3729880859721965e-151,0.007523559083767821,Hmia_98115104-tbb2a-2;Xboc_model_237,7.755712572381248e-34,2.153339333702025e-32,Hmia_98029273-sumf2;Xboc_model_5697,0.00012245756949786884,7.23428066586997e-09,,,,Hmia_98011653-pdia5;Xboc_model_6792,6.308707581065756e-07,2.6589355498444146e-21,Hmia_98137199-ppib-3;Xboc_model_7526,1.0201999034483067e-09,0.0035734966012850988
Hmia_98133224-catl2-7;Xboc_model_10963,0.0,3.5606324083409e-157,Hmia_98015721-cath;Xboc_model_3134,0.0,0.0,Hmia_98050048-plst;Xboc_model_83,1.1467431770610188e-20,3.126330545579267e-243,Hmia_98050311-catl1-4;Xboc_model_9965,8.377412311504803e-100,1.3637429210934938e-16,Hmia_98043706-grp75;Xboc_model_2621,2.706844092811338e-77,1.72474669325055e-14,Hmia_98119645-rs27a-2;Xboc_model_3404,2.5959445801909217e-115,5.461041467575923e-56,Hmia_98050311-catl1-4;Xboc_model_1141,5.709228771955225e-135,1.2845821361537508e-78,Hmia_98034726-crocc-2;Xboc_model_9738,2.0465945867829205e-155,2.3079589473811436e-40,Hmia_98014053-rs4x;Xboc_model_9209,2.473895720713308e-16,1.254743109762908e-19,Hmia_98046361-csrp1-2;Xboc_model_6778,1.2484916775446491e-52,6.75835248987748e-182,Hmia_98119645-rs27a-2;Xboc_model_3404,3.4084651695217243e-162,5.461041467575923e-56,Hmia_98045039-hrh1;Xboc_model_3804,2.165666533552255e-32,7.106181746440043e-06,Hmia_98032976-cyac3;Xboc_model_13841,1.1825956373053763e-80,0.0022532315215177227,Hmia_98001192-rab3c;Xboc_model_2685,7.747596096804176e-66,0.002507435341304086,,,,Hmia_98051382-djc10;Xboc_model_6792,2.250130351643658e-25,2.6589355498444146e-21,Hmia_98118450-tba3c-2;Xboc_model_1908,0.001797251156282426,4.103804715685585e-09
Hmia_98011413-catl2;Xboc_model_10796,4.518668327706935e-143,5.728269233798078e-253,Hmia_98006634-catb;Xboc_model_765,1.1343481959965509e-238,1.520029210761e-310,Hmia_98014516-rhoa;Xboc_model_13512,2.3204157880886748e-192,1.2065785327359145e-33,Hmia_98007097-catb-2;Xboc_model_10796,2.0523698955425185e-15,5.728269233798078e-253,Hmia_98029106-ef1b;Xboc_model_1152,8.77289917274806e-106,0.0009705970229073985,Hmia_98001181-rs15;Xboc_model_11218,9.633037511213214e-138,1.6855085916832554e-40,Hmia_98050311-catl1-4;Xboc_model_9965,5.709228771955225e-135,1.3637429210934938e-16,Hmia_98048806-calm-37;Xboc_g5180,1.3394380703302307e-44,1.5483475151198248e-153,Hmia_98038950-ppif;Xboc_model_4701,1.1648660614818332e-08,1.4170659007021752e-45,Hmia_98023367-titin-4;Xboc_model_3478,0.0,1.2756936955355156e-27,Hmia_98048600-rl17;Xboc_model_12999,1.3444525454105745e-50,7.28453589179822e-72,Hmia_98030517-amd-2;Xboc_model_11914,1.728942125025345e-52,0.00011025795603268662,Hmia_98035250-calm-29;Xboc_model_10002,1.2299016358096566e-242,0.0003293295072079502,Hmia_98017580-rab2b;Xboc_model_2685,5.868255032772196e-36,0.002507435341304086,,,,Hmia_98137199-ppib-3;Xboc_model_7526,1.0201999034483067e-09,0.0031689060310340056,Hmia_98118450-tba3c-2;Xboc_model_13686,0.001797251156282426,7.076898714260874e-05
Hmia_98048987-catl2-4;Xboc_model_1141,0.0,1.2845821361537508e-78,Hmia_98006634-catb;Xboc_model_3134,1.1343481959965509e-238,0.0,Hmia_98025876-acbd5;Xboc_model_7353,5.057240419502523e-76,1.3965823304734238e-44,Hmia_98024015-catf;Xboc_model_10796,1.0407895474030016e-13,5.728269233798078e-253,Hmia_98041294-ddx4-2;Xboc_model_6897,0.001063592576281124,4.1087159167690446e-26,Hmia_98011669-trap1;Xboc_model_2338,1.4970785641428734e-15,5.980099876557126e-157,Hmia_98022839-sap;Xboc_g7257,2.355215308025386e-159,7.453410262424843e-38,Hmia_98002364-tbb4b-2;Xboc_model_10642,2.402430792852639e-57,2.6447455268418946e-122,Hmia_98149155-rs25;Xboc_model_1696,5.848287799458053e-44,2.1760923412281817e-18,Hmia_98001993-calm;Xboc_model_8500,0.0,6.228891484178966e-36,Hmia_98009195-rl19;Xboc_model_11399,7.053010567397478e-151,5.350530459886056e-38,Hmia_98038989-vglu1;Xboc_model_11366,7.668546451624972e-24,1.7117188545517824e-05,Hmia_98025572-canb2;Xboc_model_8234,1.4205378520380737e-10,9.825132077760315e-07,Hmia_98049093-pdia6;Xboc_model_6792,3.698414545266415e-74,3.14135083628211e-07,,,,,,,Hmia_98037979-tba1a-6;Xboc_model_13686,4.933725715457404e-19,7.076898714260874e-05
Hmia_98109575-catl1-6;Xboc_model_1141,0.0,1.2845821361537508e-78,Hmia_98035610-catl2-3;Xboc_model_765,4.485949655082063e-204,1.520029210761e-310,Hmia_98107674-catl2-6;Xboc_model_3134,0.006925185192114519,0.0,Hmia_98031144-catl2-2;Xboc_model_10963,3.827166299033103e-05,3.5606324083409e-157,Hmia_98049995-if4a1-2;Xboc_model_6897,0.0001433326371745275,4.1087159167690446e-26,Hmia_98048600-rl17;Xboc_model_12999,1.2510948439157675e-31,7.28453589179822e-72,Hmia_98007097-catb-2;Xboc_model_3134,3.772763834778818e-59,2.8129470163870646e-84,Hmia_98014393-tba1a-2;Xboc_model_13686,2.09473204215675e-16,5.193608250185905e-305,Hmia_98119645-rs27a-2;Xboc_model_3404,4.3047788844015653e-26,5.461041467575923e-56,Hmia_98051237-ml12b-2;Xboc_model_8500,0.0,6.228891484178966e-36,Hmia_98003662-rl8;Xboc_model_5554,2.0193096465078668e-148,2.7407199083492557e-54,Hmia_98056040-syt6-3;Xboc_model_3304,2.758004131483103e-08,4.1439197092583465e-29,Hmia_98118450-tba3c-2;Xboc_model_237,1.3637318042927392e-06,2.153339333702025e-32,Hmia_98051382-djc10;Xboc_model_6792,7.120057554570889e-36,3.14135083628211e-07,,,,,,,,,
Hmia_98109574-catl1-5;Xboc_model_1141,0.0,1.2845821361537508e-78,Hmia_98035052-rab7a-5;Xboc_model_1355,1.8087580757047856e-226,0.0,Hmia_98039646-rab38-2;Xboc_model_1569,3.787240639697877e-159,2.282364857068167e-18,Hmia_98031144-catl2-2;Xboc_model_10796,3.827166299033103e-05,5.728269233798078e-253,Hmia_98008216-arf3;Xboc_model_7694,3.549761672446727e-09,1.9946072160507784e-213,Hmia_98003662-rl8;Xboc_model_5554,5.398860841117243e-109,2.7407199083492557e-54,Hmia_98020420-glra2-4;Xboc_model_5289,6.240077674981798e-08,5.511367752184357e-13,Hmia_98034398-tbb3;Xboc_model_10642,2.522691117902446e-68,2.6447455268418946e-122,Hmia_98040421-rs6-2;Xboc_model_6292,1.195953453173325e-14,1.2262501417383304e-41,Hmia_98006216-ml12b;Xboc_model_3275,5.077205853083719e-96,2.0922962519175227e-124,Hmia_98035673-rs27l;Xboc_model_5181,1.3342724391984372e-112,2.5222282466873118e-39,Hmia_98020269-snp25-3;Xboc_model_1145,3.842754391932647e-49,0.0007058982445269114,Hmia_98048282-hpcl1-4;Xboc_model_8234,6.366726276564366e-23,9.825132077760315e-07,Hmia_98003406-arf1-2;Xboc_model_2685,6.595293007687588e-50,0.002507435341304086,,,,,,,,,
Hmia_98037084-catl1-3;Xboc_model_10796,5.470246092453538e-185,5.728269233798078e-253,Hmia_98035610-catl2-3;Xboc_model_3134,4.485949655082063e-204,0.0,Hmia_98011962-sgk3;Xboc_model_4774,8.835957559904478e-86,3.8405060119420285e-53,Hmia_98043597-cyta-5;Xboc_model_7045,4.993391504845021e-103,1.7168869410455915e-06,Hmia_98025876-acbd5;Xboc_model_7353,6.036092467128436e-49,1.3965823304734238e-44,Hmia_98029043-rl37;Xboc_model_1877,8.170337047592838e-84,2.0779312819298887e-35,Hmia_98050311-catl1-4;Xboc_model_3134,5.709228771955225e-135,2.8129470163870646e-84,Hmia_98046343-calm-35;Xboc_g5180,2.8622511604300426e-27,1.5483475151198248e-153,Hmia_98039890-rs3;Xboc_model_8107,6.70656106756382e-23,5.120704277585867e-74,Hmia_98006216-ml12b;Xboc_model_10723,5.077205853083719e-96,9.56033745188019e-78,Hmia_98021962-rs5;Xboc_model_3245,2.1438430013449683e-119,9.025659168069122e-30,Hmia_98050230-segn-3;Xboc_model_8063,2.0081785774299845e-50,0.004514777589853552,Hmia_98014282-calm-11;Xboc_model_8234,1.5278476721276666e-05,9.825132077760315e-07,Hmia_98022439-pdia1;Xboc_model_6792,1.2440471091615342e-42,3.14135083628211e-07,,,,,,,,,
Hmia_98025789-catl1;Xboc_model_1141,0.0,1.2845821361537508e-78,Hmia_98037084-catl1-3;Xboc_model_765,5.470246092453538e-185,1.520029210761e-310,Hmia_98016620-snx12;Xboc_model_2005,1.157924204047246e-84,4.943444330402321e-43,Hmia_98137799-sat2-2;Xboc_model_1175,1.3828519284165587e-96,2.6269589438034055e-38,Hmia_98022014-ef1d;Xboc_model_1152,1.1107198391491265e-21,0.0009705970229073985,Hmia_98000212-rl13a;Xboc_model_9201,1.7282642560732385e-85,2.873818575373909e-45,Hmia_98024015-catf;Xboc_model_1141,4.256542329813684e-34,1.2845821361537508e-78,Hmia_98123105-tbb4b-14;Xboc_model_13686,2.2818714014887916e-08,5.193608250185905e-305,Hmia_98035673-rs27l;Xboc_model_5181,9.061768802204506e-14,2.5222282466873118e-39,Hmia_98052096-titin-9;Xboc_model_3472,0.0,6.698887428809847e-24,Hmia_98051292-rs24;Xboc_model_4028,1.703655032689895e-55,5.702176167767609e-47,Hmia_98042304-s7a14;Xboc_model_10569,3.5293431111868515e-44,0.008213390117313221,Hmia_98044330-syt7-5;Xboc_model_11648,5.460176746667051e-19,4.562962294353717e-10,Hmia_98003358-rab1a;Xboc_model_2685,0.0023680925616956774,0.002507435341304086,,,,,,,,,
Hmia_98004573-catz-2;Xboc_model_10796,2.685850831221083e-81,5.728269233798078e-253,Hmia_98037084-catl1-3;Xboc_model_3134,5.470246092453538e-185,0.0,Hmia_98027943-pdia3;Xboc_model_10785,3.7202092188568934e-206,3.2014922460514875e-21,Hmia_98007097-catb-2;Xboc_model_1141,2.0523698955425185e-15,1.2845821361537508e-78,Hmia_98058043-hsp7c-2;Xboc_model_2621,1.3157268534888962e-83,1.72474669325055e-14,Hmia_98035673-rs27l;Xboc_model_5181,1.3996448683370987e-76,2.5222282466873118e-39,Hmia_98024015-catf;Xboc_model_9965,4.256542329813684e-34,1.3637429210934938e-16,Hmia_98035686-calm-30;Xboc_g5180,9.986543833344746e-13,1.5483475151198248e-153,Hmia_98035549-rs3a-2;Xboc_model_3530,1.0195531524810599e-25,1.493397780494471e-71,Hmia_98058838-myh7;Xboc_model_1093,5.108020770003743e-30,0.0,Hmia_98040421-rs6-2;Xboc_model_6292,1.3842871669366944e-70,1.2262501417383304e-41,Hmia_98047619-kpce-2;Xboc_model_7196,0.0,0.0064501591747413035,Hmia_98036995-canb1-2;Xboc_model_8234,3.782897407361611e-18,9.825132077760315e-07,Hmia_98035775-rab1a-4;Xboc_model_2685,1.641041348434325e-13,0.002507435341304086,,,,,,,,,
Hmia_98035610-catl2-3;Xboc_model_10963,4.485949655082063e-204,3.5606324083409e-157,Hmia_98011413-catl2;Xboc_model_765,4.518668327706935e-143,1.520029210761e-310,Hmia_98145950-vatl-3;Xboc_model_1187,3.282310820756206e-214,1.72795957155589e-05,Hmia_98051214-pspb-2;Xboc_g7257,3.105662401601888e-08,7.453410262424843e-38,Hmia_98043844-dd19a;Xboc_model_6897,0.0006054186614255285,4.1087159167690446e-26,Hmia_98050328-rs19;Xboc_model_1846,2.506096772774893e-75,1.6343387486497027e-43,Hmia_98137799-sat2-2;Xboc_model_1175,1.1926406975393504e-108,2.6269589438034055e-38,Hmia_98115104-tbb2a-2;Xboc_model_13686,2.4914993461246826e-62,5.193608250185905e-305,Hmia_98003662-rl8;Xboc_model_5554,1.969681261432539e-29,2.7407199083492557e-54,Hmia_98021298-speg;Xboc_model_3472,0.0,6.698887428809847e-24,Hmia_98021474-dx39b;Xboc_model_6897,1.0936549065128195e-285,3.2526195121831026e-32,Hmia_98030517-amd-2;Xboc_model_1859,1.728942125025345e-52,0.0027984251494616564,Hmia_98031315-ppap-2;Xboc_model_7581,4.191860700346675e-12,2.7312054367576832e-05,Hmia_98048586-pdia4;Xboc_model_6792,3.38006073492956e-20,3.14135083628211e-07,,,,,,,,,
Hmia_98015721-cath;Xboc_model_1141,0.0,1.2845821361537508e-78,Hmia_98011413-catl2;Xboc_model_3134,4.518668327706935e-143,0.0,Hmia_98014516-rhoa;Xboc_model_2535,2.3204157880886748e-192,1.7205634007029072e-19,Hmia_98024015-catf;Xboc_model_1141,1.0407895474030016e-13,1.2845821361537508e-78,Hmia_98014400-pabp1;Xboc_model_1540,1.8150172920576652e-26,0.0014628662463782981,Hmia_98013279-rl14;Xboc_model_11465,1.7347495300881656e-95,1.721504424206771e-26,Hmia_98029235-cah6-2;Xboc_model_972,1.164248254342293e-131,0.005619536006175119,Hmia_98055993-calm-43;Xboc_g5180,6.4270620340208965e-09,1.5483475151198248e-153,Hmia_98029043-rl37;Xboc_model_1877,3.746914887940856e-12,2.0779312819298887e-35,Hmia_98055491-titin-12;Xboc_model_3478,1.652457486294517e-120,1.2756936955355156e-27,Hmia_98045749-rl18;Xboc_model_9876,2.867173324515596e-144,3.3336418610988425e-24,Hmia_98005569-5ht1d;Xboc_model_3804,9.49550260462754e-17,7.106181746440043e-06,Hmia_98027716-calm-23;Xboc_model_8234,4.3771559074727534e-10,9.825132077760315e-07,Hmia_98026407-arf5;Xboc_model_2685,0.0016625430639837617,0.002507435341304086,,,,,,,,,
Hmia_98133224-catl2-7;Xboc_model_1141,0.0,1.2845821361537508e-78,Hmia_98010517-tsn7;Xboc_model_6655,0.0,1.7923411053392836e-214,Hmia_98014516-rhoa;Xboc_model_13642,2.3204157880886748e-192,9.589828273052254e-10,Hmia_98004257-gbrb3;Xboc_model_5289,4.0381347174387747e-28,5.511367752184357e-13,Hmia_98034764-thiom;Xboc_model_10785,1.736481455196364e-190,3.2014922460514875e-21,Hmia_98024696-ch10;Xboc_model_12091,1.6194486694822276e-163,0.004354491394155791,Hmia_98031144-catl2-2;Xboc_model_10796,2.4305600833130125e-07,5.728269233798078e-253,Hmia_98034904-call5-5;Xboc_g5180,1.0611067921571821e-18,1.5483475151198248e-153,Hmia_98118312-rl26;Xboc_model_6526,9.390347355760667e-37,1.2610707302256616e-19,Hmia_98034389-call3-2;Xboc_model_3275,6.046188993778124e-35,2.0922962519175227e-124,Hmia_98149155-rs25;Xboc_model_1696,7.051209069076862e-235,2.1760923412281817e-18,Hmia_98001787-sytl1;Xboc_model_3304,1.3194125388998376e-05,4.1439197092583465e-29,Hmia_98038025-tmx3;Xboc_model_10785,1.5117154457254957e-48,1.3788785042815346e-20,Hmia_98011653-pdia5;Xboc_model_6792,1.4162143430581614e-07,3.14135083628211e-07,,,,,,,,,
Hmia_98006634-catb;Xboc_model_10963,1.1343481959965509e-238,3.5606324083409e-157,Hmia_98029096-catl1-2;Xboc_model_765,3.6598681833542013e-93,1.520029210761e-310,Hmia_98016404-mvp;Xboc_model_12075,6.404151810986018e-225,3.3249174813225594e-13,Hmia_98013590-gbrb1;Xboc_model_5289,4.991556461295073e-08,5.511367752184357e-13,Hmia_98056336-hs105-2;Xboc_model_6180,6.466460834529344e-05,1.745924157637687e-149,Hmia_98149155-rs25;Xboc_model_1696,2.423562822878636e-134,2.1760923412281817e-18,Hmia_98024015-catf;Xboc_model_3134,4.256542329813684e-34,2.8129470163870646e-84,Hmia_98030193-calm-26;Xboc_g5180,5.638579456798208e-07,1.5483475151198248e-153,Hmia_98019845-rl10a;Xboc_model_13700,6.445049316806973e-32,7.693121204307278e-55,Hmia_98036269-titin-7;Xboc_model_3472,0.0,6.698887428809847e-24,Hmia_98050328-rs19;Xboc_model_1846,3.818906060253112e-80,1.6343387486497027e-43,Hmia_98030442-syt6;Xboc_model_3304,1.0270038594737366e-06,4.1439197092583465e-29,Hmia_98001419-syt7;Xboc_model_11648,3.805786591487365e-12,4.562962294353717e-10,Hmia_98040982-dyhc1;Xboc_model_429,1.3829043791756702e-05,0.002855975538188374,,,,,,,,,
Hmia_98011413-catl2;Xboc_model_10963,4.518668327706935e-143,3.5606324083409e-157,Hmia_98109575-catl1-6;Xboc_model_1141,0.0,5.281162222327915e-38,Hmia_98014209-rab8b;Xboc_model_1355,8.16422225867559e-14,0.0,Hmia_98021872-cgl;Xboc_model_1290,1.1431454519777222e-12,2.442200798807318e-12,Hmia_98018840-ef2;Xboc_model_9285,1.1668174653709554e-18,2.5031434360680365e-28,Hmia_98021962-rs5;Xboc_model_3245,4.9680229820715484e-73,9.025659168069122e-30,Hmia_98105512-grn-7;Xboc_model_7725,3.2766730095263237e-25,6.77600088057766e-08,Hmia_98052799-fhl3-6;Xboc_model_13687,1.325073830277483e-16,2.304741472786509e-113,Hmia_98003394-rl4;Xboc_model_8249,4.724898635035608e-16,5.555339402610785e-39,Hmia_98023367-titin-4;Xboc_model_3472,0.0,6.698887428809847e-24,Hmia_98000212-rl13a;Xboc_model_9201,1.1840057724257244e-90,2.873818575373909e-45,Hmia_98023851-gbb2;Xboc_model_890,0.0,0.007078462518128696,Hmia_98059054-calm-45;Xboc_model_8234,0.0002707114997577058,9.825132077760315e-07,,,,,,,,,,,,
Hmia_98037084-catl1-3;Xboc_model_10963,5.470246092453538e-185,3.5606324083409e-157,Hmia_98109574-catl1-5;Xboc_model_1141,0.0,5.281162222327915e-38,Hmia_98041139-rab1a-5;Xboc_model_1355,0.007332169846902753,0.0,Hmia_98031144-catl2-2;Xboc_model_1141,3.827166299033103e-05,1.2845821361537508e-78,Hmia_98103427-abcb6-6;Xboc_model_10767,2.3247880445789344e-95,0.006706891768154081,Hmia_98040421-rs6-2;Xboc_model_6292,6.8863854232738445e-47,1.2262501417383304e-41,Hmia_98105511-grn-6;Xboc_model_7725,3.6366979673614885e-19,6.77600088057766e-08,Hmia_98014393-tba1a-2;Xboc_model_10642,2.09473204215675e-16,2.6447455268418946e-122,Hmia_98050235-rl40-4;Xboc_model_3404,4.082214716919611e-07,5.461041467575923e-56,Hmia_98054421-titin-11;Xboc_model_3478,8.902452390365218e-84,1.2756936955355156e-27,Hmia_98034420-ppil3;Xboc_model_4701,6.067280367925304e-30,1.4170659007021752e-45,Hmia_98051665-atrap-2;Xboc_model_7611,1.1432616433995369e-83,0.0005947783148802568,Hmia_98049517-calm-38;Xboc_model_10002,2.7946133716040087e-11,0.0003293295072079502,,,,,,,,,,,,
Hmia_98035610-catl2-3;Xboc_model_1141,4.485949655082063e-204,1.2845821361537508e-78,Hmia_98020832-actb-3;Xboc_model_7642,0.0,0.0,Hmia_98039646-rab38-2;Xboc_model_467,3.787240639697877e-159,7.630300053979059e-06,Hmia_98007097-catb-2;Xboc_model_3134,2.0523698955425185e-15,2.8129470163870646e-84,Hmia_98056652-ks6b1;Xboc_model_4774,4.5595235161627895e-07,3.8405060119420285e-53,Hmia_98009195-rl19;Xboc_model_11399,1.8661527596453684e-79,5.350530459886056e-38,Hmia_98031144-catl2-2;Xboc_model_1141,2.4305600833130125e-07,1.2845821361537508e-78,Hmia_98001574-odf3a;Xboc_model_3634,2.964919343114041e-106,8.600834987196101e-05,Hmia_98021474-dx39b;Xboc_model_6897,1.0194051039599485e-48,3.2526195121831026e-32,Hmia_98059348-limd2;Xboc_model_6778,1.948887451450432e-80,6.75835248987748e-182,Hmia_98007937-rl27;Xboc_model_1333,8.981058728301482e-30,2.291753539472384e-57,Hmia_98048590-tba1a-8;Xboc_model_1908,8.715455109186731e-24,9.646485544041311e-20,Hmia_98015773-cr3l1;Xboc_model_8234,6.217941533642438e-11,9.825132077760315e-07,,,,,,,,,,,,
