Nvec_cnidocyte;Xboc_SECRETORY_EPITHELIIUM_3,Nvec_cnidocyte;Xboc_SECRETORY_EPITHELIIUM_3_pval1,Nvec_cnidocyte;Xboc_SECRETORY_EPITHELIIUM_3_pval2,Nvec_cnidocyte;Xboc_SECRETORY_EPITHELIIUM_4,Nvec_cnidocyte;Xboc_SECRETORY_EPITHELIIUM_4_pval1,Nvec_cnidocyte;Xboc_SECRETORY_EPITHELIIUM_4_pval2,Nvec_digestive_filaments;Xboc_GUT,Nvec_digestive_filaments;Xboc_GUT_pval1,Nvec_digestive_filaments;Xboc_GUT_pval2,Nvec_epidermis;Xboc_GUT,Nvec_epidermis;Xboc_GUT_pval1,Nvec_epidermis;Xboc_GUT_pval2,Nvec_gastrodermis;Xboc_EPIDERMIS,Nvec_gastrodermis;Xboc_EPIDERMIS_pval1,Nvec_gastrodermis;Xboc_EPIDERMIS_pval2,Nvec_gastrodermis;Xboc_GUT,Nvec_gastrodermis;Xboc_GUT_pval1,Nvec_gastrodermis;Xboc_GUT_pval2,Nvec_gastrodermis;Xboc_MUSCLE,Nvec_gastrodermis;Xboc_MUSCLE_pval1,Nvec_gastrodermis;Xboc_MUSCLE_pval2,Nvec_gland;Xboc_GLAND1,Nvec_gland;Xboc_GLAND1_pval1,Nvec_gland;Xboc_GLAND1_pval2,Nvec_gland;Xboc_GLAND3,Nvec_gland;Xboc_GLAND3_pval1,Nvec_gland;Xboc_GLAND3_pval2,Nvec_gland;Xboc_GLAND4,Nvec_gland;Xboc_GLAND4_pval1,Nvec_gland;Xboc_GLAND4_pval2,Nvec_gland;Xboc_SECRETORY_EPITHELIIUM_1,Nvec_gland;Xboc_SECRETORY_EPITHELIIUM_1_pval1,Nvec_gland;Xboc_SECRETORY_EPITHELIIUM_1_pval2,Nvec_muscle;Xboc_MUSCLE,Nvec_muscle;Xboc_MUSCLE_pval1,Nvec_muscle;Xboc_MUSCLE_pval2,Nvec_nan;Xboc_EPIDERMIS,Nvec_nan;Xboc_EPIDERMIS_pval1,Nvec_nan;Xboc_EPIDERMIS_pval2,Nvec_nan;Xboc_MUSCLE,Nvec_nan;Xboc_MUSCLE_pval1,Nvec_nan;Xboc_MUSCLE_pval2,Nvec_nan;Xboc_unk5,Nvec_nan;Xboc_unk5_pval1,Nvec_nan;Xboc_unk5_pval2,Nvec_nan;Xboc_unk6,Nvec_nan;Xboc_unk6_pval1,Nvec_nan;Xboc_unk6_pval2,Nvec_nan;Xboc_unk7,Nvec_nan;Xboc_unk7_pval1,Nvec_nan;Xboc_unk7_pval2,Nvec_neuron;Xboc_CILIATED_CELLS,Nvec_neuron;Xboc_CILIATED_CELLS_pval1,Nvec_neuron;Xboc_CILIATED_CELLS_pval2,Nvec_neuron;Xboc_EXCRETORY,Nvec_neuron;Xboc_EXCRETORY_pval1,Nvec_neuron;Xboc_EXCRETORY_pval2,Nvec_neuron;Xboc_GLAND2,Nvec_neuron;Xboc_GLAND2_pval1,Nvec_neuron;Xboc_GLAND2_pval2,Nvec_neuron;Xboc_MUSCLE-LIKE,Nvec_neuron;Xboc_MUSCLE-LIKE_pval1,Nvec_neuron;Xboc_MUSCLE-LIKE_pval2,Nvec_neuron;Xboc_NEURON,Nvec_neuron;Xboc_NEURON_pval1,Nvec_neuron;Xboc_NEURON_pval2,Nvec_neuron;Xboc_PHARYNGEAL,Nvec_neuron;Xboc_PHARYNGEAL_pval1,Nvec_neuron;Xboc_PHARYNGEAL_pval2,Nvec_neuron;Xboc_PIGMENT,Nvec_neuron;Xboc_PIGMENT_pval1,Nvec_neuron;Xboc_PIGMENT_pval2,Nvec_neuron;Xboc_unk1,Nvec_neuron;Xboc_unk1_pval1,Nvec_neuron;Xboc_unk1_pval2,Nvec_neuron;Xboc_unk3,Nvec_neuron;Xboc_unk3_pval1,Nvec_neuron;Xboc_unk3_pval2,Nvec_neuron;Xboc_unk4,Nvec_neuron;Xboc_unk4_pval1,Nvec_neuron;Xboc_unk4_pval2,Nvec_neuron;Xboc_unk8,Nvec_neuron;Xboc_unk8_pval1,Nvec_neuron;Xboc_unk8_pval2,Nvec_precursors;Xboc_SECRETORY_EPITHELIIUM_4,Nvec_precursors;Xboc_SECRETORY_EPITHELIIUM_4_pval1,Nvec_precursors;Xboc_SECRETORY_EPITHELIIUM_4_pval2,Nvec_precursors;Xboc_unk2,Nvec_precursors;Xboc_unk2_pval1,Nvec_precursors;Xboc_unk2_pval2,Nvec_precursors;Xboc_unk9,Nvec_precursors;Xboc_unk9_pval1,Nvec_precursors;Xboc_unk9_pval2
,,,,,,Nvec_v1g239511;Xboc_model_510,1.6217045983346253e-07,5.078360873846777e-116,Nvec_v1g120496;Xboc_model_11239,6.245576161088075e-05,3.4144579793424866e-15,Nvec_v1g84136;Xboc_model_573,2.150133071296552e-160,2.4422682986140807e-17,Nvec_v1g27606;Xboc_g7257,1.2482855134021159e-20,1.2687898734726135e-205,Nvec_v1g80945;Xboc_model_10848,8.305910784009362e-69,8.157482045033553e-35,Nvec_v1g199428;Xboc_model_3810,8.995965831470935e-10,5.093817802238794e-35,Nvec_v1g124911;Xboc_model_8980,7.044215679154291e-06,4.809109685550454e-13,Nvec_v1g88668;Xboc_model_9798,0.0005407150547515106,3.6820556347395716e-06,,,,Nvec_v1g237239;Xboc_model_2740,3.555400461947283e-173,6.0573793334722285e-99,Nvec_v1g132059;Xboc_model_6121,9.271194609404265e-111,1.0846321711102391e-131,Nvec_v1g88915;Xboc_model_6438,0.0014090753970623787,0.0,,,,Nvec_v1g210933;Xboc_model_7642,1.7210033913438432e-15,4.498260200078454e-05,,,,Nvec_v1g167737;Xboc_model_10642,1.5114379588673244e-40,2.6447455268418946e-122,,,,,,,,,,Nvec_v1g186216;Xboc_model_13686,1.9299798843573959e-233,4.0785853822522106e-13,Nvec_v1g213429;Xboc_model_237,0.001552586759646738,2.153339333702025e-32,Nvec_v1g213429;Xboc_model_13686,0.001552586759646738,3.131292642190086e-07,Nvec_v1g234521;Xboc_model_13686,1.1527435814449788e-08,0.00041802001758554816,,,,,,,,,,,,,,,,Nvec_v1g179973;Xboc_model_5473,1.4948064145276434e-54,1.8983028538548782e-39
,,,,,,Nvec_v1g244590;Xboc_model_238,1.0815394289436772e-07,1.0389984031637468e-45,Nvec_v1g132059;Xboc_model_6121,6.332051877621144e-20,0.0010804426515776012,Nvec_v1g175347;Xboc_model_13555,2.0025404681152266e-30,3.132500748562289e-253,Nvec_v1g123507;Xboc_model_765,1.869502149865673e-15,1.520029210761e-310,Nvec_v1g177611;Xboc_model_3275,1.7685208841758597e-16,2.0922962519175227e-124,Nvec_v1g83864;Xboc_model_12910,5.57051106700528e-07,0.00015429704646306757,Nvec_v1g140545;Xboc_model_10806,0.0005814044364887051,5.584796502395294e-12,Nvec_v1g124911;Xboc_model_3161,7.044215679154291e-06,0.00018009362050623443,,,,Nvec_v1g216465;Xboc_model_10723,8.777527870772146e-11,9.56033745188019e-78,Nvec_v1g191860;Xboc_model_10963,2.0594939503600988e-08,3.5606324083409e-157,Nvec_v1g240903;Xboc_model_10848,1.0979383196259367e-09,8.157482045033553e-35,,,,Nvec_v1g238389;Xboc_model_8014,4.854078928886628e-26,0.0006827172543725349,,,,Nvec_v1g118944;Xboc_model_10642,7.587618476859803e-26,2.6447455268418946e-122,,,,,,,,,,Nvec_v1g99757;Xboc_model_3304,0.0006275589454875141,4.1439197092583465e-29,Nvec_v1g174;Xboc_model_9743,0.0003170539232050812,7.75594168416388e-10,,,,Nvec_v1g118944;Xboc_model_13686,7.587618476859803e-26,0.00041802001758554816,,,,,,,,,,,,,,,,Nvec_v1g85854;Xboc_model_8245,8.834960933788893e-68,9.795349166145978e-55
,,,,,,Nvec_v1g178546;Xboc_model_7142,5.133833415390785e-10,1.4673294366044867e-16,Nvec_v1g247614;Xboc_model_13733,0.0018595763751474296,1.5508712294895254e-52,Nvec_v1g191860;Xboc_model_1141,4.860764933665832e-45,1.2845821361537508e-78,Nvec_v1g191860;Xboc_model_1141,4.860764933665832e-45,5.281162222327915e-38,Nvec_v1g214299;Xboc_model_6778,2.869944722017188e-37,6.75835248987748e-182,Nvec_v1g83864;Xboc_model_10349,5.57051106700528e-07,2.3742704574553795e-06,Nvec_v1g108942;Xboc_model_10806,3.446126213377277e-05,5.584796502395294e-12,Nvec_v1g199428;Xboc_model_3161,8.995965831470935e-10,0.00018009362050623443,,,,Nvec_v1g80686;Xboc_model_3478,1.2299995621225112e-47,1.2756936955355156e-27,Nvec_v1g84136;Xboc_model_573,3.9490704772939907e-84,2.4422682986140807e-17,Nvec_v1g204742;Xboc_model_7560,3.4690832937621686e-52,3.177446054949731e-08,,,,Nvec_NVE9113;Xboc_model_7642,0.004181153475176742,4.498260200078454e-05,,,,Nvec_v1g234521;Xboc_model_13686,1.1527435814449788e-08,5.193608250185905e-305,,,,,,,,,,Nvec_v1g52556;Xboc_model_3804,3.877387959525923e-05,7.106181746440043e-06,Nvec_v1g166469;Xboc_model_11648,2.027792427816395e-13,4.562962294353717e-10,,,,Nvec_v1g186200;Xboc_model_10642,0.006920110128879609,5.652783432465999e-06,,,,,,,,,,,,,,,,Nvec_v1g178799;Xboc_model_3945,9.82080556744997e-63,1.2153669423615745e-87
,,,,,,Nvec_v1g248463;Xboc_model_685,0.0030653885277626388,1.264533476072502e-68,Nvec_v1g243859;Xboc_model_13512,0.0045793904492642335,1.2065785327359145e-33,Nvec_v1g180651;Xboc_model_1141,1.5379432198338144e-50,1.2845821361537508e-78,Nvec_NVE25571;Xboc_model_13555,3.8459627077408335e-172,7.944194327148512e-48,Nvec_v1g184625;Xboc_model_10848,1.1713706027709757e-41,8.157482045033553e-35,Nvec_v1g236044;Xboc_model_3298,1.6173787458022837e-13,1.4726508432856957e-12,Nvec_v1g140545;Xboc_model_8980,0.0005814044364887051,4.809109685550454e-13,Nvec_v1g229125;Xboc_model_3161,8.240855463373271e-05,0.00018009362050623443,,,,Nvec_v1g209417;Xboc_model_8500,7.003679672068427e-29,6.228891484178966e-36,Nvec_v1g191860;Xboc_model_10796,2.0594939503600988e-08,5.728269233798078e-253,Nvec_v1g205652;Xboc_model_7560,7.816905549113309e-53,3.177446054949731e-08,,,,Nvec_v1g248018;Xboc_g7257,0.005783995851168875,0.005007413895130616,,,,Nvec_v1g213429;Xboc_model_13686,0.001552586759646738,5.193608250185905e-305,,,,,,,,,,Nvec_v1g230646;Xboc_model_11914,2.488087785561931e-25,0.00011025795603268662,Nvec_v1g233307;Xboc_model_6658,0.0,0.00013504220705279864,,,,Nvec_v1g213429;Xboc_model_10642,0.001552586759646738,5.652783432465999e-06,,,,,,,,,,,,,,,,Nvec_v1g234893;Xboc_model_5181,9.336989391220875e-72,2.5222282466873118e-39
,,,,,,Nvec_v1g194342;Xboc_model_7926,0.00015456020333635978,1.3722861096712695e-68,Nvec_v1g243859;Xboc_model_2535,0.0045793904492642335,1.7205634007029072e-19,Nvec_v1g123507;Xboc_model_10963,1.869502149865673e-15,3.5606324083409e-157,Nvec_v1g180651;Xboc_model_1141,1.5379432198338144e-50,5.281162222327915e-38,Nvec_v1g177989;Xboc_model_10848,3.323611466665494e-35,8.157482045033553e-35,Nvec_v1g83864;Xboc_model_3802,5.57051106700528e-07,0.00015345564563535138,Nvec_v1g108942;Xboc_model_8980,3.446126213377277e-05,4.809109685550454e-13,Nvec_v1g124772;Xboc_model_3161,2.499068980273192e-06,0.00018009362050623443,,,,Nvec_v1g160631;Xboc_model_8500,1.1995639082237008e-33,6.228891484178966e-36,Nvec_v1g175347;Xboc_model_13555,1.315352626897513e-12,3.132500748562289e-253,Nvec_v1g247005;Xboc_model_3275,0.0010290374864979253,2.0922962519175227e-124,,,,Nvec_v1g27606;Xboc_g7257,4.688877286058277e-12,0.005007413895130616,,,,Nvec_v1g202466;Xboc_model_13686,0.000502252781314579,5.193608250185905e-305,,,,,,,,,,Nvec_v1g124568;Xboc_model_10569,4.104827727042673e-44,0.008213390117313221,Nvec_v1g186216;Xboc_model_10642,1.9299798843573959e-233,1.569790806726383e-12,,,,Nvec_v1g186200;Xboc_model_13686,0.006920110128879609,0.00041802001758554816,,,,,,,,,,,,,,,,Nvec_v1g162224;Xboc_model_12999,3.875265335519566e-54,7.28453589179822e-72
,,,,,,Nvec_v1g210933;Xboc_model_7642,3.095391091259995e-05,0.0,Nvec_v1g192646;Xboc_model_4664,6.6238380782117916e-06,0.00014209721254334639,Nvec_v1g123507;Xboc_model_10796,1.869502149865673e-15,5.728269233798078e-253,Nvec_v1g123507;Xboc_model_3134,1.869502149865673e-15,0.0,Nvec_v1g247005;Xboc_model_8500,1.6015885164664787e-120,6.228891484178966e-36,Nvec_v1g229125;Xboc_model_3810,8.240855463373271e-05,5.093817802238794e-35,Nvec_v1g2158;Xboc_model_10806,0.0004062323548681199,5.584796502395294e-12,Nvec_v1g2158;Xboc_model_3161,0.0004062323548681199,0.00018009362050623443,,,,Nvec_v1g4553;Xboc_model_1093,3.6331904734679047e-06,0.0,Nvec_v1g107027;Xboc_model_1190,2.169072223307065e-05,9.559290128977022e-32,Nvec_NVE1757;Xboc_model_6778,0.0003637330507113868,6.75835248987748e-182,,,,Nvec_v1g160811;Xboc_model_8014,1.399455976530867e-31,0.0006827172543725349,,,,Nvec_v1g233307;Xboc_model_6658,0.0,7.001907461039411e-07,,,,,,,,,,Nvec_v1g167737;Xboc_model_10642,1.5114379588673244e-40,9.364716822518466e-24,Nvec_v1g235000;Xboc_model_10642,1.77569971051572e-133,1.569790806726383e-12,,,,Nvec_v1g213429;Xboc_model_13686,0.001552586759646738,0.00041802001758554816,,,,,,,,,,,,,,,,Nvec_v1g177191;Xboc_model_1360,8.918408207402107e-69,6.151551079668372e-37
,,,,,,Nvec_NVE9113;Xboc_model_7642,0.005095895297177311,0.0,Nvec_v1g243859;Xboc_model_13642,0.0045793904492642335,9.589828273052254e-10,Nvec_v1g200103;Xboc_model_6377,0.0,2.8714304411662327e-06,Nvec_v1g236117;Xboc_model_13148,8.29933572507442e-16,1.5815398107159149e-96,Nvec_v1g132315;Xboc_model_6778,2.0823152528366513e-26,6.75835248987748e-182,Nvec_v1g85345;Xboc_model_3810,0.00017790410775928906,5.093817802238794e-35,Nvec_v1g2158;Xboc_model_8980,0.0004062323548681199,4.809109685550454e-13,Nvec_v1g83864;Xboc_model_3161,5.57051106700528e-07,0.00018009362050623443,,,,Nvec_v1g216465;Xboc_model_3275,8.777527870772146e-11,2.0922962519175227e-124,Nvec_v1g180651;Xboc_model_1141,1.9640798237320555e-19,1.2845821361537508e-78,Nvec_v1g60683;Xboc_model_1093,1.541009161141926e-05,0.0,,,,,,,,,,Nvec_v1g186200;Xboc_model_10642,0.006920110128879609,2.6447455268418946e-122,,,,,,,,,,Nvec_v1g235000;Xboc_model_13686,1.77569971051572e-133,4.0785853822522106e-13,Nvec_v1g242883;Xboc_model_11648,1.0955030035107807e-09,4.562962294353717e-10,,,,Nvec_v1g202466;Xboc_model_10642,0.000502252781314579,5.652783432465999e-06,,,,,,,,,,,,,,,,Nvec_v1g178546;Xboc_model_7142,1.3056446784710452e-41,6.800015369894074e-74
,,,,,,Nvec_v1g236625;Xboc_model_6897,1.627625455515843e-07,4.1087159167690446e-26,Nvec_v1g108724;Xboc_model_10506,4.283029379610843e-11,0.0010763975026762008,Nvec_v1g188243;Xboc_model_7642,0.0,1.7192094869354313e-55,Nvec_v1g188243;Xboc_model_12571,0.0,2.855892798476644e-05,Nvec_v1g204742;Xboc_model_7560,1.8815487244740494e-195,3.177446054949731e-08,Nvec_v1g236044;Xboc_model_3312,1.6173787458022837e-13,7.820818334740014e-13,Nvec_v1g83864;Xboc_model_10806,5.57051106700528e-07,5.584796502395294e-12,Nvec_v1g108942;Xboc_model_3161,3.446126213377277e-05,0.00018009362050623443,,,,Nvec_v1g132315;Xboc_model_6778,1.119702856809418e-34,6.75835248987748e-182,Nvec_NVE25571;Xboc_model_13555,1.2615596716937145e-19,3.132500748562289e-253,Nvec_v1g177611;Xboc_model_8500,6.835230351020194e-33,6.228891484178966e-36,,,,,,,,,,Nvec_v1g236522;Xboc_g5180,0.007549154680818172,1.5483475151198248e-153,,,,,,,,,,Nvec_v1g118944;Xboc_model_10642,7.587618476859803e-26,9.364716822518466e-24,Nvec_v1g228321;Xboc_model_8234,0.00016546740483324522,9.825132077760315e-07,,,,Nvec_v1g202466;Xboc_model_13686,0.000502252781314579,0.00041802001758554816,,,,,,,,,,,,,,,,Nvec_v1g236761;Xboc_model_719,5.742517970814951e-70,2.05124266411481e-34
,,,,,,Nvec_v1g243086;Xboc_model_14026,1.6895854568770118e-11,2.3528824094092374e-12,Nvec_v1g123507;Xboc_model_1141,0.0033831932527154233,5.281162222327915e-38,Nvec_v1g208427;Xboc_model_13555,1.0420674331730334e-18,3.132500748562289e-253,Nvec_v1g175347;Xboc_model_13555,2.0025404681152266e-30,7.944194327148512e-48,Nvec_v1g60683;Xboc_model_1093,4.3182780452551774e-23,0.0,Nvec_v1g108942;Xboc_model_3810,3.446126213377277e-05,5.093817802238794e-35,Nvec_v1g83864;Xboc_model_8980,5.57051106700528e-07,4.809109685550454e-13,Nvec_v1g170524;Xboc_model_3161,0.00864764123715404,0.00018009362050623443,,,,Nvec_v1g80686;Xboc_model_3472,1.2299995621225112e-47,6.698887428809847e-24,Nvec_v1g84136;Xboc_model_572,3.9490704772939907e-84,9.563723253693326e-08,Nvec_v1g80945;Xboc_model_7560,6.394526927328525e-21,3.177446054949731e-08,,,,,,,,,,Nvec_v1g234521;Xboc_model_10642,1.1527435814449788e-08,2.6447455268418946e-122,,,,,,,,,,Nvec_v1g181774;Xboc_model_112,2.940085536436973e-10,6.128205428918047e-12,Nvec_v1g97106;Xboc_model_11648,1.606386943316861e-05,4.562962294353717e-10,,,,,,,,,,,,,,,,,,,,,,Nvec_v1g187690;Xboc_model_1360,6.940863884457132e-43,6.151551079668372e-37
,,,,,,Nvec_v1g91512;Xboc_model_4860,4.1947779215287466e-07,1.0857204462927523e-05,Nvec_v1g155941;Xboc_model_1152,0.0001414855687092663,0.0009705970229073985,Nvec_v1g241327;Xboc_model_1190,1.9941696034511876e-32,9.559290128977022e-32,Nvec_v1g957;Xboc_model_7525,1.346665271276959e-06,6.8060024648484865e-121,Nvec_v1g240903;Xboc_model_10848,2.845824687130295e-35,8.157482045033553e-35,Nvec_v1g83864;Xboc_model_7316,5.57051106700528e-07,0.00985278027454316,Nvec_v1g236044;Xboc_model_1959,1.6173787458022837e-13,1.6086496443842235e-08,Nvec_v1g140545;Xboc_model_3161,0.0005814044364887051,0.00018009362050623443,,,,Nvec_v1g244220;Xboc_model_6438,2.221781696850165e-11,0.0,Nvec_v1g191860;Xboc_model_1141,2.0594939503600988e-08,1.2845821361537508e-78,Nvec_v1g200105;Xboc_model_3122,7.010116649170019e-14,3.865586587494576e-13,,,,,,,,,,Nvec_v1g213429;Xboc_model_10642,0.001552586759646738,2.6447455268418946e-122,,,,,,,,,,Nvec_v1g234931;Xboc_model_8936,2.2224588331101996e-41,6.706719874794061e-06,Nvec_v1g239788;Xboc_g5180,1.9179862547491084e-05,1.856461883721657e-07,,,,,,,,,,,,,,,,,,,,,,Nvec_v1g191823;Xboc_model_10154,1.1095051493779978e-78,6.3504141646188024e-27
,,,,,,Nvec_v1g242285;Xboc_model_7694,0.0007447866006169634,1.9946072160507784e-213,Nvec_v1g243859;Xboc_model_1569,0.0045793904492642335,2.282364857068167e-18,Nvec_v1g84136;Xboc_model_572,2.150133071296552e-160,9.563723253693326e-08,Nvec_v1g190019;Xboc_model_765,8.189088861565475e-05,1.520029210761e-310,Nvec_v1g205652;Xboc_model_7560,1.5523827328329632e-205,3.177446054949731e-08,Nvec_v1g124772;Xboc_model_3298,2.499068980273192e-06,1.4726508432856957e-12,Nvec_v1g229125;Xboc_model_1959,8.240855463373271e-05,1.6086496443842235e-08,,,,,,,Nvec_v1g169611;Xboc_model_8631,6.834132660815862e-247,0.0022512946066038397,Nvec_v1g180651;Xboc_model_3134,1.9640798237320555e-19,2.8129470163870646e-84,Nvec_v1g177989;Xboc_model_10848,7.458349583905337e-05,8.157482045033553e-35,,,,,,,,,,Nvec_v1g189121;Xboc_model_9060,0.0072161519279551785,7.296383725755433e-55,,,,,,,,,,Nvec_v1g239788;Xboc_model_8063,1.9179862547491084e-05,0.004514777589853552,Nvec_v1g167737;Xboc_model_10642,1.5114379588673244e-40,1.569790806726383e-12,,,,,,,,,,,,,,,,,,,,,,Nvec_v1g237425;Xboc_model_92,7.142614070776527e-84,1.5959871851133025e-38
,,,,,,Nvec_v1g100834;Xboc_model_11239,0.0005929902317744221,3.4144579793424866e-15,Nvec_v1g243859;Xboc_model_8173,0.0045793904492642335,2.4710118100555654e-05,Nvec_v1g191860;Xboc_model_3134,4.860764933665832e-45,2.8129470163870646e-84,Nvec_v1g117697;Xboc_model_765,1.1989811727191866e-05,1.520029210761e-310,Nvec_v1g60863;Xboc_model_3478,5.839873528162818e-23,1.2756936955355156e-27,Nvec_v1g124911;Xboc_model_3298,7.044215679154291e-06,1.4726508432856957e-12,Nvec_v1g85345;Xboc_model_10806,0.00017790410775928906,5.584796502395294e-12,,,,,,,Nvec_v1g216465;Xboc_model_8500,8.777527870772146e-11,6.228891484178966e-36,Nvec_v1g247215;Xboc_model_12658,2.0919677656920922e-126,0.0026456400776504216,Nvec_v1g80763;Xboc_model_3472,3.748360053533953e-08,6.698887428809847e-24,,,,,,,,,,Nvec_v1g202466;Xboc_model_10642,0.000502252781314579,2.6447455268418946e-122,,,,,,,,,,Nvec_v1g214798;Xboc_model_7510,1.5780528109388665e-32,3.4046243244146294e-05,Nvec_v1g239788;Xboc_model_10002,1.9179862547491084e-05,0.0003293295072079502,,,,,,,,,,,,,,,,,,,,,,Nvec_v1g236492;Xboc_model_3217,2.9632302347998235e-45,6.116651867726928e-64
,,,,,,Nvec_v1g192646;Xboc_model_4664,9.060754528648604e-12,0.00014209721254334639,Nvec_v1g240553;Xboc_model_13760,0.0035967074437145705,1.916241591042777e-05,Nvec_v1g180651;Xboc_model_3134,1.5379432198338144e-50,2.8129470163870646e-84,Nvec_v1g239511;Xboc_model_510,2.568893196876853e-36,5.078360873846777e-116,Nvec_NVE4823;Xboc_model_1093,3.0369186994553553e-15,0.0,Nvec_v1g199428;Xboc_model_3298,8.995965831470935e-10,1.4726508432856957e-12,Nvec_v1g85345;Xboc_model_8980,0.00017790410775928906,4.809109685550454e-13,,,,,,,Nvec_v1g80526;Xboc_model_3478,2.8447592171927288e-09,1.2756936955355156e-27,Nvec_v1g190019;Xboc_model_1141,0.00031778501885912217,1.2845821361537508e-78,Nvec_v1g237239;Xboc_model_2740,3.379642671522549e-05,6.0573793334722285e-99,,,,,,,,,,Nvec_v1g167342;Xboc_model_2931,2.3561014111103786e-26,0.006094544222775065,,,,,,,,,,Nvec_v1g172604;Xboc_model_11914,2.381175121300144e-07,0.00011025795603268662,Nvec_v1g79192;Xboc_model_9195,2.115405996953564e-60,0.0019421765189969245,,,,,,,,,,,,,,,,,,,,,,Nvec_v1g234207;Xboc_model_6757,2.403826315271766e-13,1.9327742659077708e-88
,,,,,,Nvec_v1g236766;Xboc_model_6897,0.0019809792929546795,4.1087159167690446e-26,Nvec_v1g173281;Xboc_model_1152,0.004436989362200192,0.0009705970229073985,Nvec_v1g117697;Xboc_model_10963,1.1989811727191866e-05,3.5606324083409e-157,Nvec_v1g190019;Xboc_model_3134,8.189088861565475e-05,0.0,Nvec_v1g177611;Xboc_model_10723,1.7685208841758597e-16,9.56033745188019e-78,Nvec_v1g140545;Xboc_model_3810,0.0005814044364887051,5.093817802238794e-35,Nvec_v1g124772;Xboc_model_1959,2.499068980273192e-06,1.6086496443842235e-08,,,,,,,Nvec_v1g80686;Xboc_model_3471,1.2299995621225112e-47,2.0297186317762427e-07,Nvec_v1g180651;Xboc_model_9965,1.9640798237320555e-19,1.3637429210934938e-16,Nvec_v1g200103;Xboc_model_3122,1.5421167244004092e-15,3.865586587494576e-13,,,,,,,,,,Nvec_v1g73487;Xboc_model_8639,0.000369325495536742,6.649124672171641e-27,,,,,,,,,,Nvec_v1g214798;Xboc_model_6016,1.5780528109388665e-32,1.1821910793095519e-05,Nvec_v1g240187;Xboc_g5180,4.415534066217857e-12,1.856461883721657e-07,,,,,,,,,,,,,,,,,,,,,,Nvec_v1g167953;Xboc_model_8126,5.046822027573438e-54,5.161592132152657e-46
,,,,,,Nvec_v1g188669;Xboc_model_238,0.0027092928556092582,1.0389984031637468e-45,Nvec_v1g243859;Xboc_model_467,0.0045793904492642335,7.630300053979059e-06,Nvec_v1g123507;Xboc_model_1141,1.869502149865673e-15,1.2845821361537508e-78,Nvec_v1g248018;Xboc_g7257,1.8960957857373003e-07,1.2687898734726135e-205,Nvec_v1g80763;Xboc_model_3478,9.14407135621297e-13,1.2756936955355156e-27,Nvec_v1g124772;Xboc_model_3312,2.499068980273192e-06,7.820818334740014e-13,Nvec_v1g199428;Xboc_model_1959,8.995965831470935e-10,1.6086496443842235e-08,,,,,,,Nvec_v1g80686;Xboc_model_5689,1.2299995621225112e-47,6.043363759954734e-06,Nvec_v1g27606;Xboc_g7257,4.688877286058277e-12,7.453410262424843e-38,Nvec_NVE4823;Xboc_model_1093,1.4101020477674379e-07,0.0,,,,,,,,,,Nvec_NVE7035;Xboc_model_9065,0.0005859637478664891,1.5934260076957338e-15,,,,,,,,,,Nvec_v1g79287;Xboc_model_13355,1.789941296201346e-14,1.8854292472027648e-05,Nvec_v1g136185;Xboc_model_11648,9.1235498916519e-17,4.562962294353717e-10,,,,,,,,,,,,,,,,,,,,,,Nvec_v1g172396;Xboc_model_1846,3.363930607277659e-70,1.6343387486497027e-43
,,,,,,Nvec_v1g176499;Xboc_model_238,0.006869436601280831,1.0389984031637468e-45,Nvec_v1g243859;Xboc_model_12458,0.0045793904492642335,2.5934002757905127e-05,Nvec_v1g117697;Xboc_model_10796,1.1989811727191866e-05,5.728269233798078e-253,Nvec_v1g208427;Xboc_model_13555,1.0420674331730334e-18,7.944194327148512e-48,Nvec_v1g80945;Xboc_model_7560,8.305910784009362e-69,3.177446054949731e-08,Nvec_v1g124911;Xboc_model_3312,7.044215679154291e-06,7.820818334740014e-13,Nvec_v1g26281;Xboc_model_1959,8.407865493662903e-07,1.6086496443842235e-08,,,,,,,Nvec_v1g80686;Xboc_model_8560,1.2299995621225112e-47,6.153827615978531e-07,Nvec_v1g160811;Xboc_model_8014,1.399455976530867e-31,4.4040690452825095e-12,Nvec_v1g214299;Xboc_model_6778,0.00017187624692593473,6.75835248987748e-182,,,,,,,,,,Nvec_v1g166166;Xboc_model_8597,3.759701338980705e-07,2.705633955036812e-51,,,,,,,,,,Nvec_v1g240187;Xboc_model_8063,4.415534066217857e-12,0.004514777589853552,Nvec_v1g136167;Xboc_model_11648,1.3349025016514864e-13,4.562962294353717e-10,,,,,,,,,,,,,,,,,,,,,,Nvec_v1g242621;Xboc_model_3530,5.954608585870395e-62,1.493397780494471e-71
