	Xboc_CILIATED_CELLS	Xboc_EPIDERMIS	Xboc_EXCRETORY	Xboc_GLAND1	Xboc_GLAND2	Xboc_GLAND3	Xboc_GLAND4	Xboc_GUT	Xboc_MUSCLE	Xboc_MUSCLE-LIKE	Xboc_NEURON	Xboc_PHARYNGEAL	Xboc_PIGMENT	Xboc_SECRETORY_EPITHELIIUM_1	Xboc_SECRETORY_EPITHELIIUM_2	Xboc_SECRETORY_EPITHELIIUM_3	Xboc_SECRETORY_EPITHELIIUM_4	Xboc_unk1	Xboc_unk2	Xboc_unk3	Xboc_unk4	Xboc_unk5	Xboc_unk6	Xboc_unk7	Xboc_unk8	Xboc_unk9	Isopu_TRP+ neurons	Isopu_chemosensory	Isopu_cilia related	Isopu_contamination	Isopu_digestive I	Isopu_digestive II	Isopu_epithelial I	Isopu_epithelial II	Isopu_muscle	Isopu_neurons	Isopu_secretory cells	Isopu_sensory neurons	Isopu_stem cells	Isopu_uncharacterized
Xboc_NEURON	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1253708444803286	0.10798547016412345	0.026733799699280386	0.050393900804354505	0.01764863256426299	0.05438369198568475	0.04718884620847073	0.062183307345511106	0.029993892680199113	0.3528206601050398	0.0295665441019347	0.46479061640271724	0.10596239536305715	0.23092914801140138
Xboc_PHARYNGEAL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04106628830922735	0.00026760852439102015	0.0032667010422670743	0.0016065910549977348	0.06386403339807532	0.018191555611172184	0.012773455547981238	0.012161041043001284	0.025947050006422036	0.2757223513633316	0.025594876128228923	0.021512320590637544	0.07387144213500052	0.013024161416945498
Xboc_PIGMENT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017023110063000026	0.0160327824057215	0.0044586403870735996	0.0024306128225191756	0.1519040658455943	0.09200524030064246	0.015125881676369482	0.025815320236887863	0.06556790476686243	0.12973112790128863	0.03246251755754962	0.034351611148806485	0.08192377727299768	0.021261002251417565
Xboc_SECRETORY_EPITHELIIUM_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003388149412922357	0.0	0.0009055287209809896	0.0032704069621754656	0.007817401171504335	0.0012520882302298401	0.010664823258503158	0.0004336811811502833	0.009239370519502561	0.010853020547826268	0.9583330489092872	0.0019191589440850205	0.07470002209005132	0.000612855621066348
Xboc_SECRETORY_EPITHELIIUM_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004169625692476451	0.0002985863889188003	0.00018182508884028914	0.00028854091211591735	0.011795668418094174	0.001571317406854208	0.0016199270348490227	0.011354061185455054	0.008302745753897672	0.06119708951257935	0.401536173357972	0.01280176734688301	0.08359866875091117	0.002287390791376148
Xboc_SECRETORY_EPITHELIIUM_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009674191630568204	0.0	0.012338267041011685	0.006796738178737027	0.02408546582213411	0.0015825397280731716	0.032020924465844015	0.005210059212607326	0.016970868088905473	0.024815250955990093	0.730483857463787	0.017830279357377257	0.033830399701245205	0.017563018063744613
Xboc_SECRETORY_EPITHELIIUM_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010280328405588816	0.0015896817832947504	0.00110016167735646	0.0028053482666533123	0.019818618882601276	0.02261350529934334	0.015158492713205124	0.011252964714511485	0.008259938813284674	0.059095284453373455	0.603457141225469	0.01432916840761822	0.11843214273535799	0.0038696985224755793
Xboc_unk1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020770559891532703	0.0030783413281557865	0.004031626100002824	0.0020492327076227523	0.0829445451736198	0.031187405080381515	0.020347621346476642	0.11254578280051153	0.044000509417720934	0.13363415295280429	0.043922960803684005	0.05951922824410072	0.22150552105303772	0.007181334118648025
Xboc_unk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04554513960303116	0.0	0.0055739212931513755	0.007458446712614329	0.008656446835423602	0.015880277179165105	0.02148700520755909	0.007703268530926573	0.026392522169844872	0.11844002559415442	0.013295543652812589	0.049816068928461396	0.13503055319492357	0.01216826526032024
Xboc_unk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02906202234872926	0.0032076752655200635	0.00807878496616301	0.004652054195107019	0.060937624323867935	0.054818101705117805	0.057816417279824325	0.01749992093710436	0.1564378334919632	0.15491083112791618	0.1300110018417778	0.05119035136191652	0.12743393775700324	0.023337637216176717
